last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Stock, Robert,476594,2019,56,32,.298,.254,.044,.489,.447,.042,.386,.352,.034,10.13,5.62,4.51
Fernandez, Junior,658551,2019,54,28,.205,.230,-.025,.341,.350,-.009,.315,.322,-.007,5.40,4.60,0.80
Maples, Dillon,596027,2019,54,22,.150,.161,-.011,.300,.297,.003,.317,.320,-.003,5.40,4.53,0.87
Lyons, Tyler,544928,2019,54,31,.271,.249,.022,.604,.506,.098,.380,.340,.040,6.39,5.19,1.20
Neverauskas, Dovydas,596720,2019,53,34,.349,.327,.022,.628,.648,-.020,.439,.442,-.003,10.61,9.90,0.71
Yardley, Eric,642233,2019,52,41,.261,.230,.031,.348,.321,.027,.293,.272,.021,2.31,3.21,-0.90
Webster, Allen,543903,2019,52,37,.304,.283,.021,.500,.553,-.053,.363,.377,-.014,4.91,6.61,-1.70
Dayton, Grant,594795,2019,51,33,.255,.198,.057,.511,.409,.102,.343,.283,.060,3.00,3.48,-0.48
Guilbeau, Taylor,607555,2019,51,40,.213,.266,-.053,.383,.442,-.059,.272,.317,-.045,3.65,4.44,-0.79
Davis, Rookie,606959,2019,51,33,.300,.256,.044,.625,.478,.147,.420,.356,.064,6.75,5.77,0.98
Underwood Jr., Duane,621249,2019,51,34,.277,.233,.044,.532,.394,.138,.359,.292,.067,5.40,3.72,1.68
Eades, Ryan,592280,2019,50,33,.256,.315,-.059,.465,.609,-.144,.352,.424,-.072,2.38,8.87,-6.49
Bautista, Gerson,639373,2019,49,33,.333,.300,.033,.590,.483,.107,.429,.390,.039,11.00,7.18,3.82
Venters, Jonny,458924,2019,49,25,.324,.303,.021,.595,.535,.060,.451,.427,.024,12.38,9.04,3.34
Abad, Fernando,472551,2019,49,37,.196,.192,.004,.326,.305,.021,.246,.237,.009,4.15,2.43,1.72
Jimenez, Eduardo,621592,2019,49,36,.273,.272,.001,.432,.465,-.033,.334,.351,-.017,5.91,5.59,0.32
Carle, Shane,641438,2019,49,31,.297,.317,-.020,.676,.666,.010,.457,.464,-.007,9.64,11.31,-1.67
Poyner, Bobby,596074,2019,49,32,.233,.268,-.035,.465,.555,-.090,.334,.378,-.044,6.94,6.66,0.28
Farrell, Luke,608652,2019,48,33,.136,.164,-.028,.386,.410,-.024,.232,.261,-.029,2.70,2.95,-0.25
Severino, Luis,622663,2019,48,24,.146,.171,-.025,.171,.255,-.084,.217,.251,-.034,1.50,2.73,-1.23
Bednar, David,670280,2019,48,29,.250,.226,.024,.550,.424,.126,.357,.310,.047,6.55,4.23,2.32
Jerez, Williams,605301,2019,48,30,.308,.307,.001,.564,.586,-.022,.420,.428,-.008,4.35,9.09,-4.74
Musgrave, Harrison,643466,2019,47,28,.231,.249,-.018,.308,.379,-.071,.282,.314,-.032,3.60,4.35,-0.75
Puk, A.J.,640462,2019,47,29,.238,.175,.063,.333,.225,.108,.289,.228,.061,3.18,2.25,0.93
Jones, Nate,518858,2019,47,29,.256,.224,.032,.410,.291,.119,.341,.290,.051,3.48,3.67,-0.19
Luzardo, Jesus,666200,2019,46,26,.119,.152,-.033,.238,.298,-.060,.194,.228,-.034,1.50,2.25,-0.75
Keller, Kyle,664918,2019,46,25,.139,.201,-.062,.389,.501,-.112,.316,.370,-.054,3.38,6.32,-2.94
Anderson, Cody,594736,2019,46,28,.333,.286,.047,.528,.485,.043,.425,.392,.033,9.35,7.27,2.08
De Los Santos, Enyel,660853,2019,46,32,.317,.305,.012,.610,.569,.041,.414,.394,.020,7.36,7.36,0.00
Del Pozo, Miguel,600887,2019,45,26,.286,.265,.021,.571,.554,.017,.404,.392,.012,10.61,7.27,3.34
Selman, Sam,572125,2019,44,26,.171,.210,-.039,.371,.407,-.036,.309,.338,-.029,4.35,5.12,-0.77
Norwood, James,656803,2019,44,25,.250,.245,.005,.417,.422,-.005,.351,.353,-.002,2.89,5.66,-2.77
Carasiti, Matt,571539,2019,43,28,.297,.226,.071,.514,.383,.131,.369,.297,.072,4.66,3.86,0.80
Kuhnel, Joel,669270,2019,42,28,.216,.193,.023,.324,.294,.030,.282,.264,.018,4.66,3.02,1.64
Morejon, Adrian,670970,2019,42,30,.385,.344,.041,.615,.561,.054,.435,.402,.033,10.13,7.74,2.39
Richards, Garrett,572070,2019,41,24,.294,.260,.034,.676,.541,.135,.433,.379,.054,8.31,6.70,1.61
Zamora, Daniel,623354,2019,41,27,.294,.229,.065,.471,.446,.025,.357,.326,.031,5.19,4.73,0.46
Schlitter, Brian,489295,2019,41,31,.324,.204,.120,.405,.276,.129,.347,.251,.096,3.72,2.73,0.99
Graterol, Brusdar,660813,2019,40,27,.278,.264,.014,.389,.364,.025,.296,.290,.006,4.66,3.67,0.99
Borucki, Ryan,621366,2019,40,28,.441,.358,.083,.794,.663,.131,.535,.459,.076,10.80,10.98,-0.18
Sborz, Josh,622250,2019,40,29,.286,.362,-.076,.571,.625,-.054,.375,.441,-.066,8.00,9.84,-1.84
Kelley, Trevor,665001,2019,40,29,.290,.277,.013,.613,.628,-.015,.370,.432,-.062,8.64,9.32,-0.68
Perez, Cionel,672335,2019,40,31,.289,.289,.000,.579,.496,.083,.371,.343,.028,10.00,5.30,4.70
Burdi, Nick,595897,2019,39,20,.297,.200,.097,.486,.335,.151,.343,.245,.098,9.35,2.60,6.75
Pazos, James,572021,2019,39,25,.200,.218,-.018,.314,.367,-.053,.252,.281,-.029,1.74,3.43,-1.69
Walker, Jeremy,668683,2019,38,28,.265,.251,.014,.353,.323,.030,.306,.289,.017,1.93,3.64,-1.71
Collins, Tim,525768,2019,38,31,.265,.281,-.016,.441,.452,-.011,.316,.340,-.024,3.12,5.19,-2.07
Scott, Robby,582494,2019,37,21,.276,.247,.029,.483,.440,.043,.386,.362,.024,4.91,6.00,-1.09
Vieira, Thyago,600986,2019,37,24,.344,.324,.020,.375,.500,-.125,.361,.392,-.031,9.00,7.27,1.73
Petricka, Jake,502593,2019,36,27,.207,.235,-.028,.310,.294,.016,.277,.311,-.034,3.38,4.26,-0.88
Poppen, Sean,664092,2019,36,22,.323,.281,.042,.581,.494,.087,.414,.367,.047,7.56,6.20,1.36
Edwards, Jon,457754,2019,36,23,.179,.310,-.131,.464,.665,-.201,.355,.463,-.108,2.25,11.25,-9.00
Guerra, Javy,642770,2019,36,27,.219,.246,-.027,.563,.550,.013,.335,.347,-.012,5.19,5.44,-0.25
Diehl, Phillip,670426,2019,35,24,.313,.308,.005,.563,.586,-.023,.389,.400,-.011,7.36,7.65,-0.29
Peterson, Tim,623402,2019,35,24,.259,.289,-.030,.407,.458,-.051,.364,.392,-.028,4.91,7.27,-2.36
Nogosek, Stephen,668665,2019,34,26,.387,.334,.053,.645,.563,.082,.431,.381,.050,10.80,6.78,4.02
Oswalt, Corey,621261,2019,34,23,.321,.280,.041,.571,.491,.080,.416,.373,.043,12.15,6.45,5.70
Pounders, Brooks,572044,2019,34,26,.300,.289,.011,.500,.478,.022,.364,.353,.011,6.14,5.66,0.48
Ramirez, JC,500724,2019,34,28,.250,.295,-.045,.531,.500,.031,.338,.351,-.013,4.50,5.59,-1.09
Moore, Matt,519043,2019,33,23,.094,.205,-.111,.094,.306,-.212,.100,.236,-.136,0.00,2.41,-2.41
St. John, Locke,657766,2019,33,24,.241,.241,.000,.345,.322,.023,.300,.299,.001,5.40,3.91,1.49
Robertson, David,502085,2019,33,21,.296,.281,.015,.444,.463,-.019,.379,.374,.005,5.40,6.49,-1.09
Garcia, Bryan,650530,2019,33,21,.321,.220,.101,.500,.371,.129,.386,.304,.082,12.15,4.05,8.10
Middleton, Keynan,641871,2019,33,20,.154,.236,-.082,.231,.445,-.214,.273,.371,-.098,1.17,6.36,-5.19
Wright, Steven,453214,2019,33,23,.407,.372,.035,.778,.684,.094,.503,.468,.035,8.53,11.59,-3.06
Speier, Gabe,642100,2019,33,17,.185,.225,-.040,.444,.508,-.064,.333,.368,-.035,7.36,6.24,1.12
Huang, Wei-Chieh,658791,2019,32,24,.308,.334,-.026,.462,.568,-.106,.391,.435,-.044,3.18,9.49,-6.31
Hoyt, James,624586,2019,32,20,.200,.248,-.048,.467,.475,-.008,.294,.315,-.021,2.16,4.38,-2.22
Jennings, Dan,543359,2019,32,15,.333,.279,.054,.458,.448,.010,.407,.386,.021,13.50,7.00,6.50
Abreu, Bryan,650556,2019,32,16,.138,.202,-.064,.172,.255,-.083,.184,.246,-.062,1.04,2.62,-1.58
Garcia, Rico,670329,2019,30,23,.360,.337,.023,.840,.642,.198,.518,.455,.063,10.50,10.72,-0.22
Rhame, Jacob,642008,2019,30,16,.150,.191,-.041,.400,.406,-.006,.365,.384,-.019,4.26,6.91,-2.65
Anderson, Drew,623454,2019,30,18,.250,.301,-.051,.375,.399,-.024,.323,.353,-.030,7.50,5.66,1.84
Dunn, Justin,643290,2019,30,16,.105,.148,-.043,.105,.166,-.061,.265,.314,-.049,2.70,4.35,-1.65
Sulser, Cole,642121,2019,29,17,.192,.120,.072,.231,.204,.027,.233,.191,.042,0.00,1.61,-1.61
Moran, Brian,572383,2019,29,15,.250,.202,.048,.500,.422,.078,.349,.299,.050,4.26,3.91,0.35
Hart, Donnie,643354,2019,29,22,.160,.236,-.076,.160,.402,-.242,.198,.321,-.123,0.00,4.57,-4.57
Torres, Carlos,448614,2019,29,19,.333,.301,.032,.593,.482,.111,.404,.351,.053,7.50,5.59,1.91
Feierabend, Ryan,456387,2019,29,24,.393,.302,.091,.679,.476,.203,.452,.334,.118,11.12,4.99,6.13
Escobar, Luis,650813,2019,29,22,.455,.373,.082,.682,.597,.085,.498,.462,.036,7.94,11.18,-3.24
Diaz, Miguel,622766,2019,29,22,.346,.293,.053,.654,.483,.171,.439,.366,.073,7.11,6.16,0.95
Heller, Ben,621294,2019,28,16,.250,.233,.017,.417,.439,-.022,.308,.310,-.002,1.23,4.23,-3.00
Santana, Dennis,642701,2019,27,15,.300,.243,.057,.550,.357,.193,.413,.358,.055,7.20,5.85,1.35
Guduan, Reymin,594056,2019,27,17,.364,.310,.054,.818,.814,.004,.492,.504,-.012,11.81,14.39,-2.58
Hahn, Jesse,534910,2019,27,14,.333,.290,.043,.571,.581,-.010,.435,.424,.011,13.50,8.87,4.63
Gregerson, Luke,502381,2019,27,24,.423,.277,.146,.500,.375,.125,.406,.288,.118,7.94,3.61,4.33
Blazek, Michael,518468,2019,26,21,.286,.287,-.001,.476,.610,-.134,.388,.428,-.040,7.20,9.09,-1.89
Wotherspoon, Matt,642226,2019,26,21,.435,.486,-.051,.739,.751,-.012,.511,.540,-.029,15.43,17.87,-2.44
Harvey, Hunter,640451,2019,26,11,.136,.193,-.057,.409,.288,.121,.286,.273,.013,1.42,3.23,-1.81
Herget, Jimmy,623474,2019,26,23,.348,.348,.000,.696,.555,.141,.456,.413,.043,4.26,8.29,-4.03
Rodgers, Brady,572086,2019,25,18,.318,.336,-.018,.909,.806,.103,.511,.486,.025,16.20,12.92,3.28
Karns, Nate,501992,2019,25,16,.333,.261,.072,.381,.296,.085,.369,.314,.055,0.00,4.35,-4.35
Reed, Cody,642003,2019,25,17,.250,.221,.029,.250,.246,.004,.218,.205,.013,1.42,1.84,-0.42
Fernandez, Jose Manuel,622774,2019,23,15,.375,.242,.133,.688,.439,.249,.476,.373,.103,17.18,6.45,10.73
Walsh, Jared,665120,2019,23,12,.176,.168,.008,.176,.204,-.028,.293,.301,-.008,1.80,3.97,-2.17
Avila, Pedro,658648,2019,23,15,.200,.186,.014,.200,.215,-.015,.243,.242,.001,1.69,2.53,-0.84
Schultz, Jaime,621289,2019,22,16,.316,.265,.051,.579,.487,.092,.412,.358,.054,7.20,5.85,1.35
White, Tyler,643603,2019,22,15,.438,.270,.168,1.375,.741,.634,.676,.453,.223,21.60,10.59,11.01
Murphy, John Ryan,571974,2019,22,19,.526,.433,.093,1.158,.951,.207,.683,.578,.105,27.00,22.52,4.48
Karinchak, James,675916,2019,22,13,.150,.221,-.071,.200,.318,-.118,.166,.245,-.079,1.69,2.60,-0.91
Wilkerson, Stevie,592859,2019,22,21,.273,.288,-.015,.591,.550,.041,.350,.346,.004,6.75,5.41,1.34
De Leon, Jose,592254,2019,21,9,.188,.171,.017,.188,.232,-.044,.271,.276,-.005,2.25,3.31,-1.06
Mendez, Yohander,622795,2019,21,8,.250,.227,.023,.625,.549,.076,.432,.405,.027,5.79,7.89,-2.10
Warren, Art,605521,2019,21,14,.105,.265,-.160,.105,.351,-.246,.149,.304,-.155,0.00,4.05,-4.05
O'Day, Darren,503285,2019,21,13,.158,.263,-.105,.316,.423,-.107,.241,.324,-.083,1.69,4.66,-2.97
Moore, Andrew,621058,2019,20,17,.316,.280,.036,.737,.548,.189,.437,.354,.083,7.71,5.70,2.01
Franco, Enderson,575070,2019,20,15,.211,.154,.057,.421,.308,.113,.279,.209,.070,3.38,1.91,1.47
Carpenter, David,502304,2019,19,13,.267,.423,-.156,.400,.612,-.212,.365,.492,-.127,5.40,13.39,-7.99
Montgomery, Jordan,656756,2019,19,14,.368,.359,.009,.684,.652,.032,.432,.417,.015,6.75,8.50,-1.75
Venditte, Pat,519381,2019,19,12,.286,.206,.080,.500,.410,.090,.426,.374,.052,16.20,6.49,9.71
Quinn, Roman,596451,2019,19,15,.438,.468,-.030,.500,.571,-.071,.434,.467,-.033,8.10,11.52,-3.42
Barrett, Jake,545332,2019,19,13,.353,.262,.091,.824,.639,.185,.497,.399,.098,14.73,7.60,7.13
Banda, Anthony,607455,2019,18,16,.333,.310,.023,.556,.571,-.015,.367,.364,.003,6.75,6.08,0.67
Brosseau, Michael,670712,2019,18,17,.294,.286,.008,.588,.372,.216,.380,.300,.080,4.50,3.94,0.56
Hultzen, Danny,543343,2019,18,10,.267,.286,-.019,.267,.365,-.098,.310,.349,-.039,0.00,5.51,-5.51
Hunter, Tommy,488984,2019,18,13,.111,.202,-.091,.111,.238,-.127,.097,.189,-.092,0.00,1.58,-1.58
Mella, Keury,622492,2019,18,12,.313,.197,.116,.438,.268,.170,.337,.226,.111,7.36,2.22,5.14
Ortiz, Luis,656814,2019,18,10,.308,.315,-.007,.846,.792,.054,.523,.515,.008,10.80,15.37,-4.57
Reyes, Alex,621052,2019,17,10,.200,.289,-.089,.500,.528,-.028,.409,.465,-.056,15.00,11.38,3.62
Milner, Hoby,571948,2019,17,12,.267,.239,.028,.467,.299,.168,.349,.286,.063,7.36,3.56,3.80
Gordon, Alex,460086,2019,17,15,.571,.325,.246,.786,.547,.239,.554,.410,.144,19.29,8.14,11.15
Vizcaino, Arodys,527055,2019,17,8,.214,.257,-.043,.571,.578,-.007,.379,.400,-.021,2.25,7.65,-5.40
Payamps, Joel,606303,2019,17,11,.308,.363,-.055,.308,.727,-.419,.347,.495,-.148,4.50,13.63,-9.13
Salazar, Danny,517593,2019,17,12,.286,.354,-.068,.786,.835,-.049,.473,.518,-.045,4.50,15.65,-11.15
Gilmartin, Sean,543219,2019,16,13,.500,.354,.146,1.000,.775,.225,.622,.496,.126,19.29,13.72,5.57
Arano, Victor,644364,2019,16,7,.154,.213,-.059,.385,.402,-.017,.262,.295,-.033,3.86,3.80,0.06
Barrett, Aaron,502578,2019,16,11,.417,.241,.176,.667,.303,.364,.511,.350,.161,15.43,5.55,9.88
Ynoa, Huascar,660623,2019,16,12,.400,.309,.091,.733,.584,.149,.480,.382,.098,18.00,6.83,11.17
Ramirez, Erasmo,541640,2019,15,12,.333,.373,-.040,.917,.896,.021,.527,.541,-.014,12.00,17.98,-5.98
Salas, Fernando,477569,2019,15,12,.533,.315,.218,.800,.450,.350,.558,.323,.235,6.75,4.63,2.12
Loup, Aaron,571901,2019,14,7,.182,.146,.036,.273,.182,.091,.250,.211,.039,0.00,1.94,-1.94
Mantiply, Joe,573009,2019,14,10,.250,.212,.038,.667,.465,.202,.409,.336,.073,9.00,5.06,3.94
Frare, Caleb,621350,2019,14,7,.200,.228,-.028,.500,.613,-.113,.398,.435,-.037,10.13,9.49,0.64
Garton, Ryan,623439,2019,14,12,.308,.362,-.054,.846,.985,-.139,.476,.548,-.072,12.00,18.75,-6.75
Martin, Russell,431145,2019,13,11,.154,.179,-.025,.231,.256,-.025,.161,.187,-.026,0.00,1.55,-1.55
Cedeno, Xavier,458584,2019,13,9,.400,.251,.149,.600,.374,.226,.463,.329,.134,0.00,4.82,-4.82
Pinto, Ricardo,620982,2019,13,11,.364,.360,.004,.727,.658,.069,.483,.458,.025,15.43,10.91,4.52
Owings, Chris,572008,2019,12,11,.545,.471,.074,1.182,1.036,.146,.700,.613,.087,21.60,28.01,-6.41
Slegers, Aaron,642083,2019,12,11,.273,.350,-.077,.545,.656,-.111,.367,.433,-.066,3.00,9.38,-6.38
Curtiss, John,595928,2019,12,8,.222,.192,.030,.333,.511,-.178,.346,.382,-.036,3.86,6.83,-2.97
Ford, Mike,645801,2019,12,11,.500,.405,.095,1.083,.734,.349,.642,.470,.172,22.50,11.73,10.77
Murphy, Tom,608596,2019,11,8,.125,.240,-.115,.250,.417,-.167,.173,.323,-.150,6.00,4.63,1.37
Perez, Hernan,541650,2019,11,8,.222,.289,-.067,.556,.556,.000,.381,.408,-.027,3.00,8.04,-5.04
Freeman, Sam,518693,2019,11,9,.333,.451,-.118,.667,.834,-.167,.460,.560,-.100,4.50,20.17,-15.67
Culberson, Charlie,518586,2019,10,7,.250,.305,-.055,.375,.617,-.242,.347,.445,-.098,0.00,10.09,-10.09
Shreve, Chasen,592741,2019,10,6,.250,.321,-.071,.500,.497,.003,.384,.414,-.030,9.00,8.34,0.66
Moore, Dylan,664238,2019,10,8,.625,.442,.183,.625,.606,.019,.573,.494,.079,36.00,13.55,22.45
Lail, Brady,621078,2019,10,7,.222,.305,-.083,.556,.513,.043,.350,.382,-.032,10.13,6.83,3.30
Rusin, Chris,543734,2019,9,8,.714,.568,.146,1.429,1.343,.086,.756,.672,.084,36.00,41.20,-5.20
King, Michael,650633,2019,9,8,.222,.125,.097,.222,.141,.081,.193,.118,.075,0.00,0.69,-0.69
Osuna, Jose,591741,2019,9,9,.333,.367,-.034,.667,.699,-.032,.409,.440,-.031,3.86,9.79,-5.93
Caratini, Victor,605170,2019,9,8,.250,.318,-.068,.625,.534,.091,.389,.395,-.006,9.00,7.41,1.59
Rumbelow, Nick,592705,2019,9,6,.375,.464,-.089,1.125,1.198,-.073,.604,.674,-.070,27.00,41.77,-14.77
Dixon, Brandon,641525,2019,9,6,.143,.285,-.142,.571,.712,-.141,.375,.472,-.097,9.00,11.87,-2.87
De Jong, Chase,608328,2019,9,6,.500,.437,.063,1.000,.841,.159,.639,.571,.068,36.00,21.57,14.43
Mathis, Jeff,425772,2019,9,8,.333,.328,.005,.667,.611,.056,.409,.382,.027,9.00,6.83,2.17
France, Ty,664034,2019,8,8,.250,.304,-.054,.625,.863,-.238,.351,.469,-.118,4.50,11.66,-7.16
Avila, Alex,488671,2019,8,6,.286,.160,.126,.286,.269,.017,.304,.233,.071,4.50,2.35,2.15
Urena, Richard,620446,2019,8,7,.571,.349,.222,1.143,.514,.629,.698,.401,.297,36.00,7.69,28.31
Arteaga, Humberto,600858,2019,8,7,.286,.388,-.102,.714,1.037,-.323,.438,.578,-.140,5.40,22.52,-17.12
Maile, Luke,571912,2019,8,4,.143,.068,.075,.143,.093,.050,.199,.143,.056,0.00,0.96,-0.96
Adrianza, Ehire,501303,2019,8,7,.625,.501,.124,1.125,1.021,.104,.713,.621,.092,27.00,29.47,-2.47
Hearn, Taylor,621368,2019,8,4,.750,.371,.379,1.000,.593,.407,.715,.555,.160,108.00,19.57,88.43
Freeman, Mike,502273,2019,8,8,.250,.215,.035,.750,.473,.277,.395,.268,.127,9.00,3.11,5.89
Diaz, Yennsy,660546,2019,7,3,.333,.231,.102,.333,.284,.049,.519,.491,.028,27.00,13.31,13.69
Williams, Austen,657117,2019,7,5,.833,.439,.394,2.167,1.136,1.031,1.125,.636,.489,162.00,32.45,129.55
Romine, Austin,519222,2019,7,7,.571,.448,.123,1.571,.969,.602,.852,.572,.280,27.00,21.71,5.29
Morales, Kendrys,434778,2019,7,4,.333,.421,-.088,.333,.467,-.134,.424,.475,-.051,9.00,12.09,-3.09
Alcala, Jorge,660896,2019,7,5,.167,.256,-.089,.167,.307,-.140,.223,.307,-.084,0.00,4.14,-4.14
Rosa, Adonis,650738,2019,7,5,.143,.209,-.066,.571,.615,-.044,.277,.332,-.055,4.50,4.92,-0.42
Alberto, Hanser,593643,2019,7,4,.250,.323,-.073,1.000,1.122,-.122,.577,.622,-.045,18.00,29.66,-11.66
Reynolds, Mark,448602,2019,7,5,.400,.129,.271,.400,.131,.269,.450,.270,.180,18.00,3.16,14.84
Davis, Taylor,543089,2019,6,6,.500,.483,.017,.500,.549,-.049,.435,.446,-.011,0.00,10.15,-10.15
Bourque, James,630263,2019,6,4,.750,.412,.338,1.250,.799,.451,.781,.567,.214,54.00,21.05,32.95
Kinsler, Ian,435079,2019,6,3,.333,.663,-.330,.333,.727,-.394,.495,.649,-.154,0.00,35.32,-35.32
Plawecki, Kevin,608700,2019,6,6,.000,.275,-.275,.000,.304,-.304,.000,.240,-.240,0.00,2.49,-2.49
Lively, Ben,594902,2019,6,5,.500,.462,.038,1.000,1.080,-.080,.613,.619,-.006,27.00,29.09,-2.09
Federowicz, Tim,543148,2019,6,6,.500,.482,.018,1.000,1.234,-.234,.613,.693,-.080,9.00,47.65,-38.65
O'Rourke, Ryan,594951,2019,6,2,.000,.075,-.075,.000,.101,-.101,.345,.384,-.039,0.00,6.91,-6.91
Guerra, Deolis,500610,2019,6,6,.800,.583,.217,1.400,.816,.584,.758,.518,.240,54.00,15.65,38.35
Barnette, Tony,501817,2019,5,5,.400,.260,.140,1.000,.604,.396,.562,.348,.214,6.75,5.48,1.27
Rondon, Jose,602922,2019,5,5,.400,.554,-.154,.400,.581,-.181,.348,.493,-.145,0.00,13.47,-13.47
Shuck, JB,543776,2019,5,4,.250,.179,.071,.250,.580,-.330,.312,.367,-.055,0.00,6.20,-6.20
Parra, Gerardo,467827,2019,5,1,1.000,.578,.422,1.000,.621,.379,.726,.653,.073,,36.27,
Descalso, Daniel,518614,2019,5,5,.400,.391,.009,1.200,1.017,.183,.631,.572,.059,18.00,21.71,-3.71
Ellis, Chris,595939,2019,5,4,.250,.363,-.113,.250,.395,-.145,.312,.392,-.080,0.00,7.27,-7.27
Dozier, Brian,572821,2019,5,5,.400,.190,.210,1.200,.618,.582,.631,.317,.314,18.00,4.44,13.56
Farmer, Kyle,571657,2019,5,5,.200,.304,-.104,.200,.387,-.187,.174,.298,-.124,0.00,3.89,-3.89
Baez, Sandy,622783,2019,5,5,.400,.177,.223,.600,.242,.358,.417,.172,.245,9.00,1.33,7.67
Martini, Nick,605361,2019,5,2,.000,.074,-.074,.000,.083,-.083,.276,.314,-.038,0.00,4.35,-4.35
Altherr, Aaron,571437,2019,5,3,.400,.300,.100,.600,.421,.179,.417,.302,.115,9.00,4.00,5.00
Zobrist, Ben,450314,2019,5,2,.000,.094,-.094,.000,.148,-.148,.276,.335,-.059,0.00,5.02,-5.02
Davis, Chris,448801,2019,5,4,.400,.460,-.060,1.200,1.178,.022,.631,.671,-.040,9.00,40.92,-31.92
Peraza, Jose,606299,2019,4,4,.250,.274,-.024,.250,.419,-.169,.218,.293,-.075,0.00,3.75,-3.75
Joseph, Caleb,543376,2019,4,4,.000,.185,-.185,.000,.208,-.208,.000,.179,-.179,0.00,1.43,-1.43
Rodriguez, Sean,446481,2019,4,3,.000,.160,-.160,.000,.219,-.219,.000,.157,-.157,0.00,1.13,-1.13
Nunez, Eduardo,456488,2019,4,4,.250,.335,-.085,1.000,.799,.201,.485,.457,.028,9.00,10.85,-1.85
Araujo, Pedro,606478,2019,4,3,.667,.554,.113,1.667,1.292,.375,.875,.724,.151,27.00,59.69,-32.69
Walker, Taijuan,592836,2019,4,3,.250,.278,-.028,.500,.569,-.069,.304,.358,-.054,0.00,5.85,-5.85
Desmond, Ian,435622,2019,4,4,.250,.280,-.030,.500,.349,.151,.304,.268,.036,0.00,3.11,-3.11
Castillo, Jose,620454,2019,4,0,.000,,,.000,,,.352,.352,.000,0.00,5.62,-5.62
Reed, AJ,607223,2019,3,3,.000,.119,-.119,.000,.220,-.220,.000,.154,-.154,0.00,1.09,-1.09
Sandoval, Pablo,467055,2019,3,2,.000,.190,-.190,.000,.241,-.241,.240,.340,-.100,0.00,5.19,-5.19
Sucre, Jesus,491696,2019,3,3,.000,.072,-.072,.000,.086,-.086,.000,.082,-.082,0.00,0.37,-0.37
Stallings, Jacob,607732,2019,3,3,.000,.081,-.081,.000,.085,-.085,.000,.078,-.078,0.00,0.35,-0.35
Ramsey, Matt,543677,2019,3,2,.000,.003,-.003,.000,.008,-.008,.000,.005,-.005,0.00,0,0.00
Robertson, Daniel,621002,2019,3,3,.333,.436,-.103,.333,.502,-.169,.290,.402,-.112,0.00,7.74,-7.74
Vasquez, Andrew,607755,2019,3,0,,,,,,,.700,.700,.000,,50.08,
Betances, Dellin,476454,2019,2,0,.000,,,.000,,,.000,.000,.000,0.00,0,0.00
Stassi, Max,545358,2019,1,1,.000,.310,-.310,.000,.342,-.342,.000,.346,-.346,0.00,5.41,-5.41
Gyorko, Jedd,576397,2019,1,0,.000,,,.000,,,.000,.000,.000,0.00,0,0.00
Holaday, Bryan,592407,2019,1,1,.000,.132,-.132,.000,.150,-.150,.000,.138,-.138,0.00,0.90,-0.90